"medicinalproduct","activesubstancename"
"ASPIRIN EC","ASPIRIN"
"ASPIRINE (ASPIRINE)","ASPIRIN"
"ASPIRINE 500 MG NICHOLAS","ASPIRIN"
"ASPIRINE","ASPIRIN"
"ASPIRIN DISPERSIBLE 75MG","ASPIRIN"
"ASPIRIN CHILDREN","ASPIRIN"
"ASPIRIN CHEWABLE","ASPIRIN"
"ASPIRIN CARDIO (NON AZ PRODUCT)","ASPIRIN"
"ASPIRIN CARDIO (NON AZ DRUG)","ASPIRIN"
"ASPIRIN CARDIO (ACETYLSALICYLIC ACID)","ASPIRIN"
"ASPIRIN CARDIO 100 MG FILMTABLETTEN","ASPIRIN"
"ASPIRIN CARDIO 100 MG","ASPIRIN"
"ASPIRIN CARDIO 100MG","ASPIRIN"
"ASPIRIN CARDIO 100 FILM TABLETS","ASPIRIN"
"ASPIRIN CARDIO 100","ASPIRIN"
"ASPIRIN CARDIO","ASPIRIN"
"ASPIRIN BUFFERED","ASPIRIN"
"ASPIRIN BLINDED","ASPIRIN"
"ASPIRIN (BAYER) (NON AZ PRODUCT)","ASPIRIN"
"ASPIRIN ^BAYER^ (JP ASPIRIN)","ASPIRIN"
"ASPIRIN ^BAYER^","ASPIRIN"
"ASPIRIN BAYER","ASPIRIN"
"ASPIRIN (BABY)","ASPIRIN"
"ASPIRIN BABY","ASPIRIN"
"ASPIRIN (ASPIRIN) (ASPIRIN)","ASPIRIN"
"ASPIRIN (ASPIRIN)","ASPIRIN"
"ASPIRIN  (ASPIRIN)","ASPIRIN"
"ASPIRIN ASPIRIN","ASPIRIN"
"ASPIRINA PROTECT 100 MG","ASPIRIN"
"ASPIRINA PROTECT","ASPIRIN"
"ASPIRINA PREVENT","ASPIRIN"
"ASPIRIN ADULT LOW STRENGTH","ASPIRIN"
"ASPIRIN ADULT  LOW STRENGTH","ASPIRIN"
"ASPIRIN ADULT LOW DOSE","ASPIRIN"
"ASPIRIN (ADULT)","ASPIRIN"
"ASPIRINA DOLORE E INFIAMMAZIONE 500 MG","ASPIRIN"
"ASPIRIN (ACETYLSALICYLIC ACID) UNSPECIFIED","ASPIRIN"
"ASPIRIN (ACETYLSALICYLIC ACID) UNKNOWN 325MG","ASPIRIN"
"ASPIRIN (ACETYLSALICYLIC ACID) TABLET","ASPIRIN"
"ASPIRIN (ACETYLSALICYLIC ACID) (ACETYLSALICYLIC ACID)","ASPIRIN"
"ASPIRIN (ACETYLSALICYLIC  ACID) (ACETYLSALICYLIC  ACID)","ASPIRIN"
"ASPIRIN(ACETYLSALICYLIC ACID)","ASPIRIN"
"ASPIRIN ACETYLSALICYLIC ACID","ASPIRIN"
"ASPIRIN (ACETYLSALICYLIC ACID)","ASPIRIN"
"ASPIRIN  (ACETYLSALICYLIC ACID)","ASPIRIN"
"ASPIRIN (ACETYLSALICYCLIC ACID)","ASPIRIN"
"ASPIRINA BAYER","ASPIRIN"
"ASPIRINA (ACETYLSALICYLIC ACID)","ASPIRIN"
"ASPIRINA - 500 MG COMPRESSE - BAYER S.P.A.","ASPIRIN"
"ASPIRINA","ASPIRIN"
"ASPIRIN 81 MG QUICK CHEWS","ASPIRIN"
"ASPIRIN 81 MG EC","ASPIRIN"
"ASPIRIN 81MG ADULT LOW DOSE","ASPIRIN"
"ASPIRIN 81 MG","ASPIRIN"
"ASPIRIN 81MG","ASPIRIN"
"ASPIRIN 81","ASPIRIN"
"ASPIRIN 500 MG COATED TABLETS","ASPIRIN"
"ASPIRIN 500","ASPIRIN"
"ASPIRIN 325MG COATED 416","ASPIRIN"
"ASPIRIN 325 MG","ASPIRIN"
"ASPIRIN  325 MG","ASPIRIN"
"ASPIRIN 1 DF","ASPIRIN"
"ASPIRIN 16028/0026 75 MG","ASPIRIN"
"ASPIRIN 16028/0019 300 MG","ASPIRIN"
"ASPIRIN 150MG","ASPIRIN"
"ASPIRIN 100 TABLETTEN","ASPIRIN"
"ASPIRIN 100 MG","ASPIRIN"
"ASPIRIN 100MG","ASPIRIN"
"ASPIRIN 100","ASPIRIN"
"ASPIRIN /00002701/","ASPIRIN"
"ASPIRIN                       /00002701/","ASPIRIN"
"ASPIRIN                            /00002701/","ASPIRIN"
"ASPIRIN.","ASPIRIN"
"*ASPIRIN","ASPIRIN"
"ASPIR-81","ASPIRIN"
"ASPIR","ASPIRIN"
"ASPILETS","ASPIRIN"
"ASPICOT","ASPIRIN"
"ASPENTER","ASPIRIN"
"ASP","ASPIRIN"
"ASOIRIN PROTECT","ASPIRIN"
"ASCRIPTIN REGULAR STRENGTH BUFFERED ASPIRIN","ASPIRIN"
"ASCRIPTIN BUFFERED MAX STRENGTH CAPLETS","ASPIRIN"
"ASCRIPTIN","ASPIRIN"
"ASA-RATIOPHARM","ASPIRIN"
"ASAPHEN","ASPIRIN"
"ASA (NON-AZ PRODUCT)","ASPIRIN"
"ASA (NON AZ PRODUCT)","ASPIRIN"
"ASA INFANTIL","ASPIRIN"
"ASAFLOW","ASPIRIN"
"ASACTAL","ASPIRIN"
"(ASA) ASPIRIN","ASPIRIN"
"ASA ARTHRITIS STRENGTH ASPIRIN","ASPIRIN"
"ASA 81MG QD X 28 DAYS PO","ASPIRIN"
"ASA 81 MG QD X 28 DAYS PO","ASPIRIN"
"ASA","ASPIRIN"
"APOHEALTH CARDIO ASPIRIN","ASPIRIN"
"ANOPYRIN 100 MG","ASPIRIN"
"ANOPYRIN","ASPIRIN"
"ANDOL","ASPIRIN"
"ANALGESIN (ASPIRIN)","ASPIRIN"
"ALGESAL /00002701/","ASPIRIN"
"ADULT LOW STRENGTH ASPIRIN","ASPIRIN"
"ADULT LOW DOSE ASPIRIN","ASPIRIN"
"ADULT ASPIRINS","ASPIRIN"
"ADIRO (NON-AZ PRODUCT)","ASPIRIN"
"ADIRO 300MG GATRO-RESISTANT TABLETS, 30 TABLETS","ASPIRIN"
"ADIRO 300","ASPIRIN"
"ADIRO 100 MG GATRO-RESISTANT TABLETS, 30 TABLETS","ASPIRIN"
"ADIRO 100 MG GASTRO-RESISTANT TABLETS, 500 TABLETS","ASPIRIN"
"ADIRO 100MG GASTRO-RESISTANT TABLETS, 30 TABLETS","ASPIRIN"
"ADIRO 100MG GASTRO RESISTANT TABLETS, 30 TABLETS","ASPIRIN"
"ADIRO 100 MG GASTRO-RESISTANT TABLETS, 30 TABLETS","ASPIRIN"
"ADIRO 100 MG GASTRO-RESISTANT TABLETS 30 TABLETS","ASPIRIN"
"ADIRO 100 MG FILM COATED TABLETS, 30 TABLETS","ASPIRIN"
"ADIRO 100 MG FILM COATED TABLET, 30 TABLETS","ASPIRIN"
"ADIRO 100 MG COMPRIMIDOS RECUBIERTOS , 30 COMPRIMIDOS","ASPIRIN"
"ADIRO 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG , 60 COMPRIMIDOS","ASPIRIN"
"ADIRO 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG , 30 COMPRIMIDOS","ASPIRIN"
"ADIRO 100MG COATED TABLETS, 30 TABLETS","ASPIRIN"
"ADIRO 100MG COATED TABLET, 30 TABLETS","ASPIRIN"
"ADIRO 100 MG","ASPIRIN"
"ADIRO 100","ASPIRIN"
"ADIRO","ASPIRIN"
"ACIDO ACETIL SALICILICO","ASPIRIN"
"ACIDO ACETILSALICILCO MYLAN","ASPIRIN"
"ACETYSALICLIC ACID","ASPIRIN"
"ACETYLSALYCYL ACID","ASPIRIN"
"ACETYLSALICYLZUUR DISPERTABLET 80MG","ASPIRIN"
"ACETYLSALICYLZUUR","ASPIRIN"
"ACETYLSALICYLSYRE","ASPIRIN"
"ACETYLSALICYLSAEURE","ASPIRIN"
"ACETYLSALICYLIC ACID (UNKNOWN)","ASPIRIN"
"ACETYLSALICYLIC ACID SANDOZ (NGX)","ASPIRIN"
"ACETYLSALICYLIC ACID OR PLACEBO (CODE NOT BROKEN)","ASPIRIN"
"ACETYLSALICYLIC ACID (NON-AZ PRODUCT)","ASPIRIN"
"ACETYLSALICYLIC ACID (NON AZ PRODUCT)","ASPIRIN"
"ACETYLSALICYLIC ACID (NON-AZ DRUG)","ASPIRIN"
"ACETYLSALICYLIC ACID ( NON AZ DRUG)","ASPIRIN"
"ACETYLSALICYLIC ACID ENTERIC COATED","ASPIRIN"
"ACETYLSALICYLIC ACID(}100 MG)","ASPIRIN"
"ACETYLSALICYLIC ACID({=100 MG)","ASPIRIN"
"ACETYLSALICYLIC ACID (} 100 MG)","ASPIRIN"
"ACETYLSALICYLIC  ACID","ASPIRIN"
"ACETYLSALICYLIC ACID","ASPIRIN"
"ACETYLSALICYILIC ACID","ASPIRIN"
"ACETYLSALICYCLIC ACID (ACETYLSALICYCLIC ACID)","ASPIRIN"
"ACETYLSALCYLIC ACID","ASPIRIN"
"ACECARDOL","ASPIRIN"
"ACARD","ASPIRIN"
"AAS PROTECT","ASPIRIN"
"AAS INFANTIL","ASPIRIN"
"AAS","ASPIRIN"
"81 MG LOW DOSE ASPIRIN","ASPIRIN"
"PENICALS","PHENOXYMETHYLPENICILLIN CALCIUM"
"KAVEPENIN","PHENOXYMETHYLPENICILLIN CALCIUM"
"AMINOSALICYLATE CALCIUM","AMINOSALICYLATE CALCIUM"
"QUINACRINE","QUINACRINE"
"MEPACRINE","QUINACRINE"
"ATABRINE","QUINACRINE"
"METHYLEPHEDRINE","METHYLEPHEDRINE"
"RFB002 OR RFB002+ VETERPORFIN PHOTODYNAMIC THERAPY (CODE NOT BROKEN)","RANIBIZUMAB\VERTEPORFIN"
"VIBATIV","TELAVANCIN HYDROCHLORIDE"
"PROPARACAINE","PROPARACAINE"
"DIPROGENTA","BETAMETHASONE DIPROPIONATE\GENTAMICIN SULFATE"
"REFRESH CLASSIC","POLYVINYL ALCOHOL\POVIDONE"
"REFRESH                            /00880201/","POLYVINYL ALCOHOL\POVIDONE"
"NATURAL TEARS","POLYVINYL ALCOHOL\POVIDONE"
"MURINE TEARS FOR DRY EYES","POLYVINYL ALCOHOL\POVIDONE"
"FRESHKOTE","POLYVINYL ALCOHOL\POVIDONE"
"ARTIFICIAL TEARS /00880201/","POLYVINYL ALCOHOL\POVIDONE"
"ARTIFICIAL TEARS                   /00880201/","POLYVINYL ALCOHOL\POVIDONE"
"BELLADONNA EXTRACT","BELLADONNA LEAF"
"PRENATAL PLUS IRON",".ALPHA.-TOCOPHEROL ACETATE, DL-\.BETA.-CAROTENE\ASCORBIC ACID\CALCIUM CARBONATE\CHOLECALCIFEROL\CUPRIC OXIDE\CYANOCOBALAMIN\FERROUS FUMARATE\FOLIC ACID\NIACINAMIDE\PYRIDOXINE HYDROCHLORIDE\RIBOFLAVIN\THIAMINE MONONITRATE\VITAMIN A ACETATE\ZINC OXIDE"
"PRENATAL PLUS",".ALPHA.-TOCOPHEROL ACETATE, DL-\.BETA.-CAROTENE\ASCORBIC ACID\CALCIUM CARBONATE\CHOLECALCIFEROL\CUPRIC OXIDE\CYANOCOBALAMIN\FERROUS FUMARATE\FOLIC ACID\NIACINAMIDE\PYRIDOXINE HYDROCHLORIDE\RIBOFLAVIN\THIAMINE MONONITRATE\VITAMIN A ACETATE\ZINC OXIDE"
"LUTEINIZING HORMONE-RELEASING HORMONE (GONADORELIN)","GONADORELIN"
"GONADORELIN","GONADORELIN"
"EPIDERMOPHYTON","EPIDERMOPHYTON FLOCCOSUM"
"VALPROMIDE","VALPROMIDE"
"DEPAMIDE (VALPROMIDE)","VALPROMIDE"
"DEPAMIDE (300 MILLIGRAM, GASTRO-RESISTANT TABLET) (VALPROMIDE)","VALPROMIDE"
"DEPAMIDE 300MG","VALPROMIDE"
"DEPAMIDE","VALPROMIDE"
"PRILAZID","CILAZAPRIL MONOHYDRATE"
"RINOCLENIL","BECLOMETHASONE"
"BECLOMETHASONE","BECLOMETHASONE"
"SODIUM CALCIUM EDETATE","EDETATE CALCIUM DISODIUM"
"CALCIUM DISODIUM VERSENATE","EDETATE CALCIUM DISODIUM"
"BUTULBITAL","BUTALBITAL"
"BUTALBITAL (BUTALBITAL)","BUTALBITAL"
"BUTALBITAL","BUTALBITAL"
"PIPERIDINE","PIPERIDINE"
"METHOXYAMINE","METHOXYAMINE"
"DEFEROXAMINE","DEFEROXAMINE\DEFEROXAMINE MESYLATE"
"ZYMELIN","XYLOMETAZOLINE HYDROCHLORIDE"
"XYLOMETAZOLINE HYDROCHLORIDE","XYLOMETAZOLINE HYDROCHLORIDE"
"XYLOMETAZOLINE HCL","XYLOMETAZOLINE HYDROCHLORIDE"
"TYZINE XYLO SPRAY 0.1%","XYLOMETAZOLINE HYDROCHLORIDE"
"OTRIVIN COMPLETE NASAL CARE","XYLOMETAZOLINE HYDROCHLORIDE"
"OTRIVEN SINUSPRAY","XYLOMETAZOLINE HYDROCHLORIDE"
"OTRIVEN","XYLOMETAZOLINE HYDROCHLORIDE"
"OLYNTH","XYLOMETAZOLINE HYDROCHLORIDE"
"NASENSPRAY NEO SPIRIG","XYLOMETAZOLINE HYDROCHLORIDE"
"BLINDED XYLOMETAZOLINE HYDROCHLORIDE","XYLOMETAZOLINE HYDROCHLORIDE"
"4 WAY UNKNOWN","XYLOMETAZOLINE HYDROCHLORIDE"
"NICKEL SULFATE","NICKEL SULFATE"
"TRI VITAMIN WITH FL 0.25MG COMPOUNDED","ASCORBIC ACID\ERGOCALCIFEROL\RETINOL\SODIUM FLUORIDE"
"PROCARBAZINE/PROCARBAZINE HYDROCHLORIDE","PROCARBAZINE HYDROCHLORIDE"
"PROCARBAZINE HYDROCHLORIDE","PROCARBAZINE HYDROCHLORIDE"
"PROCARBAZINE HCL","PROCARBAZINE HYDROCHLORIDE"
"NATULAN (PROCARBAZINE HYDROCHLORIDE) (UNKNOWN)","PROCARBAZINE HYDROCHLORIDE"
"NATULAN - 50 MG CAPSULE RIGIDE","PROCARBAZINE HYDROCHLORIDE"
"NATULAN","PROCARBAZINE HYDROCHLORIDE"
"MATULANE","PROCARBAZINE HYDROCHLORIDE"
"CEDAX","CEFTIBUTEN DIHYDRATE"
"JUVISYNC","SIMVASTATIN\SITAGLIPTIN PHOSPHATE"
"INCADRONIC ACID","INCADRONIC ACID"
"INTERFERON ALPHA 1-A","INTERFERON ALFA-1A"
"UNIGALEN","ESTRADIOL BENZOATE\HYDROXYPROGESTERONE CAPROATE"
"DURAFLU","ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\GUAIFENESIN\PSEUDOEPHEDRINE HYDROCHLORIDE"
"DAYQUIL ^FOX^","ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\GUAIFENESIN\PSEUDOEPHEDRINE HYDROCHLORIDE"
"VASEXTEN (BARNIDIPINE HYDROCHLORIDE)","BARNIDIPINE"
"VASEXTEN","BARNIDIPINE"
"BARNIDIPINE HCL","BARNIDIPINE"
"BARNIDIPINE","BARNIDIPINE"
"DIORALYTE","CITRIC ACID MONOHYDRATE\DEXTROSE\POTASSIUM CATION\SODIUM CHLORIDE"
"UNKNOWN (FLUVOXAMINE) UNKNOWN","FLUVOXAMINE"
"SUVOXAMINE","FLUVOXAMINE"
"FLUVOXAMINE (UNKNOWN)","FLUVOXAMINE"
"FLUVOXAMINE (NON-SPECIFIC)","FLUVOXAMINE"
"FLUVOXAMINE (FLUVOXAMINE)","FLUVOXAMINE"
"FLUVOXAMINE 150 MG","FLUVOXAMINE"
"FLUVOXAMINE","FLUVOXAMINE"
"FLUVOXAMINA","FLUVOXAMINE"
"FLOXYFRAL","FLUVOXAMINE"
"DEPROMEL                           /00615201/","FLUVOXAMINE"
"DEPROMEL","FLUVOXAMINE"
"TRIUMEQ","ABACAVIR SULFATE\DOLUTEGRAVIR SODIUM\LAMIVUDINE"
"BLINDED ABACAVIRSULPHATE+DOLUTEGRAVIR+LAMIVUDINE","ABACAVIR SULFATE\DOLUTEGRAVIR SODIUM\LAMIVUDINE"
"ABACAVIRSULPHATE+DOLUTEGRAVIR+LAMIVUDINE TABLET","ABACAVIR SULFATE\DOLUTEGRAVIR SODIUM\LAMIVUDINE"
"ABACAVIRSULPHATE+DOLUTEGRAVIR+LAMIVUDINE FILM-COATED TABLET","ABACAVIR SULFATE\DOLUTEGRAVIR SODIUM\LAMIVUDINE"
"ABACAVIRSULPHATE+DOLUTEGRAVIR+LAMIVUDINE(ABACAVIR SULPHATE, DOLUTEGRAVIR, LAMIVUDINE) TABLET","ABACAVIR SULFATE\DOLUTEGRAVIR SODIUM\LAMIVUDINE"
"ABACAVIRSULPHATE+DOLUTEGRAVIR+LAMIVUDINE (ABACAVIR SULPHATE, DOLUTEGRAVIR, LAMIVUDINE) TABLET","ABACAVIR SULFATE\DOLUTEGRAVIR SODIUM\LAMIVUDINE"
"ABACAVIR SULPHATE+DOLUTEGRAVIR+LAMIVUDINE(ABACAVIR SULPHATE, DOLUTEGRAVIR, LAMIVUDINE) TABLET??","ABACAVIR SULFATE\DOLUTEGRAVIR SODIUM\LAMIVUDINE"
"ABACAVIRSULPHATE+DOLUTEGRAVIR+LAMIVUDINE","ABACAVIR SULFATE\DOLUTEGRAVIR SODIUM\LAMIVUDINE"
"ABACAVIRSULPHATE DOLUTEGRAVIR LAMIVUDINE","ABACAVIR SULFATE\DOLUTEGRAVIR SODIUM\LAMIVUDINE"
"ABACAVIR SULFATE W/DOLUTEGRAVIR SODIUM/LAMIVU","ABACAVIR SULFATE\DOLUTEGRAVIR SODIUM\LAMIVUDINE"
"ABACAVIR (+) DOLUTEGRAVIR SODIUM (+) LAMIVUDINE","ABACAVIR SULFATE\DOLUTEGRAVIR SODIUM\LAMIVUDINE"
"ABACAVIR/DOLUTEGRAVIR/LAMIVUDINE","ABACAVIR SULFATE\DOLUTEGRAVIR SODIUM\LAMIVUDINE"
"DAUNOXOME","DAUNORUBICIN CITRATE"
"TROMETHAMINE.","TROMETHAMINE"
"LACTATED RINGER^S INJECTION, USP","CALCIUM CHLORIDE\DEXTROSE MONOHYDRATE\POTASSIUM CHLORIDE\SODIUM CHLORIDE\SODIUM LACTATE"
"LACTATED RINGERS AND DEXTROSE","CALCIUM CHLORIDE\DEXTROSE MONOHYDRATE\POTASSIUM CHLORIDE\SODIUM CHLORIDE\SODIUM LACTATE"
"PHOXILIUM","CALCIUM CHLORIDE\MAGNESIUM CHLORIDE\POTASSIUM CHLORIDE\SODIUM BICARBONATE\SODIUM CHLORIDE\SODIUM PHOSPHATE, DIBASIC"
"TRIAMINIC UNKNOWN","DIPHENHYDRAMINE HYDROCHLORIDE\PHENYLEPHRINE HYDROCHLORIDE"
"TRIAMINIC NOS","DIPHENHYDRAMINE HYDROCHLORIDE\PHENYLEPHRINE HYDROCHLORIDE"
"TRIAMINIC CHILDRENS NIGHT TIME COLD AND COUGH","DIPHENHYDRAMINE HYDROCHLORIDE\PHENYLEPHRINE HYDROCHLORIDE"
"ROBITUSSIN NIGHT TIME COUGH AND COLD","DIPHENHYDRAMINE HYDROCHLORIDE\PHENYLEPHRINE HYDROCHLORIDE"
"PE TRIACTING CC NITETIME GRP LIQ 913","DIPHENHYDRAMINE HYDROCHLORIDE\PHENYLEPHRINE HYDROCHLORIDE"
"DR. COCOA NIGHTTIME COUGH AND COLD","DIPHENHYDRAMINE HYDROCHLORIDE\PHENYLEPHRINE HYDROCHLORIDE"
"DELSYM NIGHT TIME COUGH AND COLD","DIPHENHYDRAMINE HYDROCHLORIDE\PHENYLEPHRINE HYDROCHLORIDE"
"CHILDRENS DIMETAPP NIGHTTIME COLD AND CONGESTION","DIPHENHYDRAMINE HYDROCHLORIDE\PHENYLEPHRINE HYDROCHLORIDE"
"CHILDRENS BENADRYL-D ALLERGY AND SINUS","DIPHENHYDRAMINE HYDROCHLORIDE\PHENYLEPHRINE HYDROCHLORIDE"
"CHILDRENS BENADRYL ALLERGY PLUS CONGESTION","DIPHENHYDRAMINE HYDROCHLORIDE\PHENYLEPHRINE HYDROCHLORIDE"
"BENADRYL-D ALLERGY AND SINUS","DIPHENHYDRAMINE HYDROCHLORIDE\PHENYLEPHRINE HYDROCHLORIDE"
"BENADRYL D","DIPHENHYDRAMINE HYDROCHLORIDE\PHENYLEPHRINE HYDROCHLORIDE"
"ALLERGY D","DIPHENHYDRAMINE HYDROCHLORIDE\PHENYLEPHRINE HYDROCHLORIDE"
"DEMECLOCYCLINE","DEMECLOCYCLINE"
"DEXAMETHASONE (+) FRAMYCETIN SULFATE (+) GRAMICIDIN","DEXAMETHASONE\FRAMYCETIN\GRAMICIDIN"
"LABETALOL","LABETALOL\LABETALOL HYDROCHLORIDE"
"VIRACEPT","NELFINAVIR MESYLATE"
"NELFINAVIR MESYLATE","NELFINAVIR MESYLATE"
"NELFINAVIR MESILATE","NELFINAVIR MESYLATE"
"POSITIVE SKIN TEST CONTROL - HISTAMINE","HISTAMINE"
"HISTAMINE","HISTAMINE"
"TURMERIC CURCUMIN","TURMERIC"
"TURMERIC                           /01079601/","TURMERIC"
"TURMERIC","TURMERIC"
"TUMERIC","TURMERIC"
"CURCUMA LONGA","TURMERIC"
"NALOXEGOL","NALOXEGOL"
"HYDROXOCOBALAMIN (WATSON LABORATORIES)","HYDROXOCOBALAMIN"
"HYDROXOCOBALAMIN","HYDROXOCOBALAMIN"
"FRESMIN S","HYDROXOCOBALAMIN"
"CYANOKIT","HYDROXOCOBALAMIN"
"BEHEPAN","HYDROXOCOBALAMIN"
"HUMAN PAPILLOMAVIRUS VACCINE","HUMAN PAPILLOMAVIRUS VACCINE"
"HUMAN PAPILLOMA VIRUS VACCINE","HUMAN PAPILLOMAVIRUS VACCINE"
"HUMAN PAPILLOMA VACCINE","HUMAN PAPILLOMAVIRUS VACCINE"
"WYDASE","HYALURONIDASE"
"RECOMBINANT HUMAN HYALURONIDASE","HYALURONIDASE"
"HYLASE DESSAU","HYALURONIDASE"
"HYALURONIDASE","HYALURONIDASE"
"PAZUFLOXACIN","PAZUFLOXACIN"
"TOLINASE","TOLAZAMIDE"
"TOLAZAMIDE.","TOLAZAMIDE"
"AMINOBENZOIC ACID","AMINOBENZOIC ACID"
"ALUMINIUM","ALUMINUM"
"ST. JOHNS WORT","HYPERICUM PERFORATUM"
"REBALANCE","HYPERICUM PERFORATUM"
"HYPERICUM PERFORATUM","HYPERICUM PERFORATUM"
"HYPERICUM /01166801/","HYPERICUM PERFORATUM"
"ALUM","POTASSIUM ALUM"
"RUBIDIUM","RUBIDIUM CHLORIDE RB-82"
"CARDIOGEN-82","RUBIDIUM CHLORIDE RB-82"
"AVATROMBOPAG MALEATE","AVATROMBOPAG"
"CHOLINE SALICYLATE","CHOLINE SALICYLATE"
"RED CLOVER","RED CLOVER"
"CHAMOMILE TEA","MATRICARIA RECUTITA"
"TEA","TEA LEAF"
"LEMON GINGER TEA","TEA LEAF"
"CYPROTERONE ACETATE","CYPROTERONE ACETATE"
"CYPROSTAT","CYPROTERONE ACETATE"
"ANDROCUR 10 MG","CYPROTERONE ACETATE"
"ANDROCUR","CYPROTERONE ACETATE"
"SYNEPHRINE","OXEDRINE"
"FORMOTEROL MYLAN 12, INHALATIEPOEDER IN HARDE CAPSULE 12UG/DOSIS","FORMOTEROL"
"FORMOTEROL","FORMOTEROL"
"EFORMOTEROL","FORMOTEROL"
"ATIMOS","FORMOTEROL"
"SODIUM LACTATE SOLUTION","SODIUM LACTATE"
"SODIUM LACTATE.","SODIUM LACTATE"
"COMPOUND SODIUM LACTATE INJECTION IP","SODIUM LACTATE"
"DHEA","DEHYDROEPIANDROSTERONE-3-SULFATE SODIUM"
"LIMONENE","LIMONENE"
"ISOSORBIDE (WATSON LABORATORIES)","ISOSORBIDE"
"ISOSORBIDE UNSPECIFIED","ISOSORBIDE"
"ISOSORBIDE MN ER 60 MG KREMERS UR","ISOSORBIDE"
"ISOSORBIDE MN ER","ISOSORBIDE"
"ISOSORBIDE (ISOSORBIDE) UNKNOWN","ISOSORBIDE"
"ISOSORBIDE (ISOSORBIDE)","ISOSORBIDE"
"ISOSORBIDE.","ISOSORBIDE"
"ISOSORBIDE","ISOSORBIDE"
"ISORBIDE","ISOSORBIDE"
"ISOBIDE","ISOSORBIDE"
"GEMONIL","METHARBITAL"
"TONOCARD","TOCAINIDE HYDROCHLORIDE"
"TOCAINIDE HYDROCHLORIDE","TOCAINIDE HYDROCHLORIDE"
"ACOMPLIA","RIMONABANT"
"OSELTAMIVIR (UNKNOWN)","OSELTAMIVIR"
"OSELTAMIVIR","OSELTAMIVIR"
"OTERACIL POTASSIUM","OTERACIL POTASSIUM"
"OTASTAT POTASSIUM","OTERACIL POTASSIUM"
"DIETHYLCARBAMAZINE","DIETHYLCARBAMAZINE"
"XALATAN","LATANOPROST"
"MONOPROST","LATANOPROST"
"LATOPROST","LATANOPROST"
"LATANOPROST SANDOZ","LATANOPROST"
"LATANOPROST PFIZER","LATANOPROST"
"LATANOPROST OPTHALMIC SOLUTION","LATANOPROST"
"LATANOPROST OPHTHALMIC SOLUTION 0.005%","LATANOPROST"
"LATANOPROST MYLAN GENERICS ITALIA","LATANOPROST"
"LATANOPROST (LATANOPROST) (NONE)","LATANOPROST"
"LATANOPROST GREENSTONE","LATANOPROST"
"LATANOPROST EYE DROPS","LATANOPROST"
"LATANOPROST BAUSCH+LOMB","LATANOPROST"
"LATANOPROST 0.005 % OPHTHALMIC SOLUTION","LATANOPROST"
"LATANOPROST 0.005% GREENSTONE","LATANOPROST"
"LATANOPROST 0.005% FALCON","LATANOPROST"
"LATANOPROST 0.005%","LATANOPROST"
"LATANOPROST.","LATANOPROST"
"GD-LATANOPROST","LATANOPROST"
"ARULATAN","LATANOPROST"
"JUVELA",".ALPHA.-TOCOPHEROL\RETINOL"
"LEUKOVORIN","LEUCOVORIN SODIUM"
"SODIUM BROMIDE","SODIUM BROMIDE"
"TROPATEPINE","TROPATEPINE"
"SODIUM FERRIC CITRATE","FERRIC SODIUM CITRATE"
"FERRIC SODIUM CITRATE","FERRIC SODIUM CITRATE"
"YANTIL RETARD","TAPENTADOL HYDROCHLORIDE"
"TAPENTA (TAPENTADOL)","TAPENTADOL HYDROCHLORIDE"
"TAPENTADOL HYDROCHLORIDE","TAPENTADOL HYDROCHLORIDE"
"TAPENTADOL.","TAPENTADOL HYDROCHLORIDE"
"TAPENTA","TAPENTADOL HYDROCHLORIDE"
"PALEXIS RETARD 100 MG (TAPENTADOL)","TAPENTADOL HYDROCHLORIDE"
"PALEXIA","TAPENTADOL HYDROCHLORIDE"
"NUCYNTA ER","TAPENTADOL HYDROCHLORIDE"
"NUCYNTA","TAPENTADOL HYDROCHLORIDE"
"CLOBETA","CLOBETASOL PROPIONATE\COAL TAR"
"TAMARIND","TAMARIND"
"STARSIS","NATEGLINIDE"
"STARLIX","NATEGLINIDE"
"NATEGLINIDE TABLETS","NATEGLINIDE"
"NATEGLINIDE.","NATEGLINIDE"
"NATEGLINID","NATEGLINIDE"
"FASTIC (NATEGLINIDE)","NATEGLINIDE"
"FASTIC","NATEGLINIDE"
"NIZAX","NIZATIDINE"
"NIZATIDINE CAPSULES, USP","NIZATIDINE"
"NIZATIDINE.","NIZATIDINE"
"AXID AR","NIZATIDINE"
"AXID","NIZATIDINE"
"ACINON","NIZATIDINE"
"PALIPERIDONE/PALIPERIDONE PALMITATE","PALIPERIDONE"
"PALIPERIDONE ER 9 MG","PALIPERIDONE"
"PALIPERIDONE DR 3 MG TABLETS 3MG WALGREENS","PALIPERIDONE"
"PALIPERIDONE (ACTAVIS LABORATORIES FL, INC.)","PALIPERIDONE"
"PALIPERIDONE","PALIPERIDONE"
"INVEGA","PALIPERIDONE"
"ALOPLASTINE ACID","GLYCERIN\TALC\ZINC OXIDE"
"ALOPLASTINE","GLYCERIN\TALC\ZINC OXIDE"
"UROREC","SILODOSIN"
"URIEF","SILODOSIN"
"SILODYX","SILODOSIN"
